16.04.12 11:56:59.176 I> Main|6084 --------------------------------------------------
16.04.12 11:56:59.379 I> Main|6084 [Core] Модуль=C:\Windows\system32\oleaut32.dll Версия=6.1.7601.17676 (6.1.7601.17676) Размер=571904 Хеш=6C765E82B57F2E66CE9C54AC238471D9
16.04.12 11:56:59.381 I> Main|6084 [Core] Модуль=C:\Windows\system32\oledlg.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=103424 Хеш=936F728E04ACCF3F38801CFFCF1E3F40
16.04.12 11:56:59.383 I> Main|6084 [Core] Модуль=C:\Windows\system32\olepro32.dll Версия=6.1.7601.17514 (6.1.7601.17514) Размер=90112 Хеш=703FFD301AB900B047337C5D40FD6F96
16.04.12 11:56:59.383 I> Main|6084 [Core] Модуль=C:\Windows\system32\psapi.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=6144 Хеш=A543AC1F7138376D778D630A35FCBC4C
16.04.12 11:56:59.387 I> Main|6084 [Core] Модуль=C:\Windows\system32\RICHED20.DLL Версия=5.31.23.1230 (3.1) Размер=473600 Хеш=102CF6879887BBE846A00C459E6D4ABC
16.04.12 11:56:59.392 I> Main|6084 [Core] Модуль=C:\Windows\system32\RPCRT4.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=653312 Хеш=6400774E903729ADD0A62A24A334EE56
16.04.12 11:56:59.393 I> Main|6084 [Core] Модуль=C:\Windows\SYSTEM32\sechost.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=92160 Хеш=CFC97F07904067A1E5FAE195D534DA3A
16.04.12 11:56:59.471 I> Main|6084 [Core] Модуль=C:\Windows\system32\shell32.dll Версия=6.1.7601.17514 (win7sp1_rtm.101119-1850) (6.1.7601.17514) Размер=12872704 Хеш=358FC25391C6733EAF49DB480AFDFD8C
16.04.12 11:56:59.474 I> Main|6084 [Core] Модуль=C:\Windows\system32\SHLWAPI.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=350208 Хеш=8CC3C111D653E96F3EA1590891491D71
16.04.12 11:56:59.475 I> Main|6084 [Core] Модуль=C:\Windows\system32\srvcli.dll Версия=6.1.7601.17514 (win7sp1_rtm.101119-1850) (6.1.7601.17514) Размер=90112 Хеш=5CCDCD40E732D54E0F7451AC66AC1C87
16.04.12 11:56:59.476 I> Main|6084 [Core] Модуль=C:\Windows\system32\SspiCli.dll Версия=6.1.7601.17725 (win7sp1_gdr.111116-1503) (6.1.7601.17725) Размер=100352 Хеш=4A054C853031616D161A84BECF281F47
16.04.12 11:56:59.479 I> Main|6084 [Core] Модуль=C:\Windows\System32\SYSFER.DLL Версия=12.1.1000.157 (12.1.1000.157) Размер=374704 Хеш=2F79E95D888CCA32F4B984C17B5D897E
16.04.12 11:56:59.487 I> Main|6084 [Core] Модуль=C:\Windows\system32\URLMON.DLL Версия=9.00.8112.16421 (WIN7_IE9_RTM.110308-0330) (9.00.8112.16421) Размер=1103360 Хеш=4C162B2A8E175F46DB41B21C77688221
16.04.12 11:56:59.492 I> Main|6084 [Core] Модуль=C:\Windows\system32\USER32.dll Версия=6.1.7601.17514 (win7sp1_rtm.101119-1850) (6.1.7601.17514) Размер=811520 Хеш=F1DD3ACAEE5E6B4BBC69BC6DF75CEF66
16.04.12 11:56:59.496 I> Main|6084 [Core] Модуль=C:\Windows\system32\USP10.dll Версия=1.0626.7601.17514 (win7sp1_rtm.101119-1850) (1.0626.7601.17514) Размер=626176 Хеш=804AAAFEBB3AD5F49334DD906BCB1DE5
16.04.12 11:56:59.499 I> Main|6084 [Core] Модуль=C:\Windows\system32\uxtheme.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=249856 Хеш=63BFDF555DA2075A77D677829C3CCCD0
16.04.12 11:56:59.500 I> Main|6084 [Core] Модуль=C:\Windows\system32\version.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=21504 Хеш=702254574E7E52052DE39408457B7149
16.04.12 11:56:59.507 I> Main|6084 [Core] Модуль=C:\Windows\system32\WININET.dll Версия=9.00.8112.16421 (WIN7_IE9_RTM.110308-0330) (9.00.8112.16421) Размер=1127424 Хеш=44465367256D1C72B58F5ABAA19E7016
16.04.12 11:56:59.509 I> Main|6084 [Core] Модуль=C:\Windows\system32\winmm.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=194048 Хеш=D5AEFAD57C08349A4393D987DF7C715D
16.04.12 11:56:59.510 I> Main|6084 [Core] Модуль=C:\Windows\system32\WINNSI.DLL Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=16896 Хеш=CFF35B879D1618D42C86644C717BA947
16.04.12 11:56:59.512 I> Main|6084 [Core] Модуль=C:\Windows\system32\winspool.drv Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=320000 Хеш=9E4B0E7472B4CEBA9E17F440B8CB0AB8
16.04.12 11:56:59.513 I> Main|6084 [Core] Модуль=C:\Windows\system32\wkscli.dll Версия=6.1.7601.17514 (win7sp1_rtm.101119-1850) (6.1.7601.17514) Размер=47104 Хеш=E5A4A1326A02F8E7B59E6C3270CE7202
16.04.12 11:56:59.515 I> Main|6084 [Core] Модуль=C:\Windows\system32\WS2_32.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=206848 Хеш=7FF15A4F092CD4A96055BA69F903E3E9
16.04.12 11:56:59.516 I> Main|6084 [Core] Модуль=C:\Windows\system32\wsock32.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=15360 Хеш=DF13A51A5C591887D2EC6AE64CEED0FA
16.04.12 11:56:59.527 I> Main|6084 [Core] Модуль=C:\Windows\WinSxS\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2\comctl32.dll Версия=6.10 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=1680896 Хеш=352B3DC62A0D259A82A052238425C872
16.04.12 11:56:59.535 I> Main|6084 [Core] Модуль=U:\bin\core.bpl Версия=2.0.0.112 (2.0) Размер=1350656 Хеш=848463087A76461B57A3814A2D4B714D
16.04.12 11:56:59.538 I> Main|6084 [Core] Модуль=U:\bin\dbrtl100.bpl Версия=11.0.2902.10471 (11.0) Размер=295936 Хеш=DBDB4B33B1001AEC960FD4CF54AA5729
16.04.12 11:56:59.557 I> Main|6084 [Core] Модуль=U:\bin\objects.bpl Версия=2.0.0.58 (2.0) Размер=3245568 Хеш=7C1A04F3F6727E8624A2F27F77A86F41
16.04.12 11:56:59.563 I> Main|6084 [Core] Модуль=U:\bin\rtl100.bpl Версия=11.0.2902.10471 (11.0) Размер=853504 Хеш=EE4751299FEBFAB77E689C60721EF218
16.04.12 11:56:59.563 I> Main|6084 [Core] Модуль=U:\bin\taxi.exe Версия=2.0.0.63 (2.0) Размер=28160 Хеш=4B74E043515BD1E08C7941FA4A7D2DCB
16.04.12 11:56:59.575 I> Main|6084 [Core] Модуль=U:\bin\vcl100.bpl Версия=11.0.2902.10471 (11.0) Размер=1874944 Хеш=AA2BAEE9C50AB6FED72DE7C8867DFF49
16.04.12 11:56:59.577 I> Main|6084 [Core] Модуль=U:\bin\vclactnband100.bpl Версия=11.0.2902.10471 (11.0) Размер=306688 Хеш=D50A5F298A1758FE7AB5CD4B58B73618
16.04.12 11:56:59.579 I> Main|6084 [Core] Модуль=U:\bin\vcldb100.bpl Версия=11.0.2902.10471 (11.0) Размер=274432 Хеш=3D7B16B8A4FE5F870F5DB686520A3B0C
16.04.12 11:56:59.583 I> Main|6084 [Core] Модуль=U:\bin\vcliex100.bpl Версия=11.0.2902.10471 (11.0) Размер=592896 Хеш=9233525B9C4A816546257C8BEC09F554
16.04.12 11:56:59.584 I> Main|6084 [Core] Модуль=U:\bin\vclimg100.bpl Версия=11.0.2902.10471 (11.0) Размер=119808 Хеш=F0CEAE65DAF074A42E1A02B185E0759A
16.04.12 11:56:59.585 I> Main|6084 [Core] Модуль=U:\bin\vcljpg100.bpl Версия=11.0.2902.10471 (11.0) Размер=97792 Хеш=341D1B2786F3E5FC4A4360A326656B37
16.04.12 11:56:59.587 I> Main|6084 [Core] Модуль=U:\bin\vclx100.bpl Версия=11.0.2902.10471 (11.0) Размер=198656 Хеш=F8294F14C9D7D9B5004D13A84ABD83C8
16.04.12 11:56:59.587 I> Main|6084 [Core] Окончание снятия дампа модулей.
16.04.12 11:56:59.668 I> Main|6084 [UIBaseConnectionModule] Загрузка модуля cmuibase.bpl началась ...
16.04.12 11:56:59.733 I> Main|6084 [UIBaseConnectionModule] Загрузка модуля cmuibase.bpl прошла успешно.
16.04.12 11:56:59.735 I> Main|6084 [UIBaseConnectionModule] Инициализация модуля cmuibase.bpl прошла успешно.
16.04.12 11:56:59.768 I> Main|6084 [CallServerModule] Загрузка модуля smcall.bpl началась ...
16.04.12 11:57:00.777 I> Main|6084 [CallServerModule] Загрузка модуля smcall.bpl прошла успешно.
16.04.12 11:57:00.834 I> Main|6084 [CallServerModule] Инициализация модуля smcall.bpl прошла успешно.
16.04.12 11:57:00.851 I> Main|6084 [EventServerModule] Загрузка модуля smudpevt.bpl началась ...
16.04.12 11:57:00.944 I> Main|6084 [EventServerModule] Загрузка модуля smudpevt.bpl прошла успешно.
16.04.12 11:57:01.207 I> Main|6084 [EventServerModule] Инициализация модуля smudpevt.bpl прошла успешно.
16.04.12 11:57:01.215 I> Main|6084 [CoreIfaceModule] Загрузка модуля core.bpl началась ...
16.04.12 11:57:01.215 I> Main|6084 [CoreIfaceModule] Загрузка модуля core.bpl прошла успешно.
16.04.12 11:57:01.216 I> Main|6084 [CoreIfaceModule] Инициализация модуля core.bpl прошла успешно.
16.04.12 11:57:01.216 I> Main|6084 [Core] Начало снятия дампа модулей ...
16.04.12 11:57:01.229 I> Main|6084 [Core] Модуль=C:\Windows\system32\ac3acm.acm Версия=1, 9, 0, 0 (1, 9, 0, 0) Размер=151552 Хеш=A269ED7ECD8971D29F45C02CB9F7DEED
16.04.12 11:57:01.233 I> Main|6084 [Core] Модуль=C:\Windows\system32\advapi32.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=640512 Хеш=95E2376B3323F062EB562B8586D0F14A
16.04.12 11:57:01.236 I> Main|6084 [Core] Модуль=C:\Windows\system32\comdlg32.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=485888 Хеш=D1DE1EAFDE97BE41CF6585027FF3E732
16.04.12 11:57:01.237 I> Main|6084 [Core] Модуль=C:\Windows\system32\CRYPTBASE.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=36864 Хеш=F08F6FCD09F9BE94C37ACC1B344685FF
16.04.12 11:57:01.243 I> Main|6084 [Core] Модуль=C:\Windows\system32\dbghelp.dll Версия=6.1.7601.17514 (win7sp1_rtm.101119-1850) (6.1.7601.17514) Размер=854016 Хеш=53223B673A3FA2F9A4D1C31C8D3F6CD8
16.04.12 11:57:01.245 I> Main|6084 [Core] Модуль=C:\Windows\system32\DNSAPI.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=270336 Хеш=B40420876B9288E0A1C8CCA8A84E5DC9
16.04.12 11:57:01.246 I> Main|6084 [Core] Модуль=C:\Windows\system32\dwmapi.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=67072 Хеш=39C5F32747B3414D1BB216FDB1DEFC58
16.04.12 11:57:01.249 I> Main|6084 [Core] Модуль=C:\Windows\system32\GDI32.dll Версия=6.1.7601.17514 (win7sp1_rtm.101119-1850) (6.1.7601.17514) Размер=304640 Хеш=E87F5393F7D8CE2FACC4DFF703531392
16.04.12 11:57:01.260 I> Main|6084 [Core] Модуль=C:\Windows\system32\iertutil.dll Версия=9.00.8112.16443 (WIN7_IE9_GDR.120227-1545) (9.00.8112.16443) Размер=1792000 Хеш=1341915D4705A3BA68BC49E83024ADE0
16.04.12 11:57:01.261 I> Main|6084 [Core] Модуль=C:\Windows\system32\imaadp32.acm Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=17920 Хеш=C2A12B061F591E093E3FD99D75811398
16.04.12 11:57:01.262 I> Main|6084 [Core] Модуль=C:\Windows\system32\IMAGEHLP.DLL Версия=6.1.7601.17787 (win7sp1_gdr.120229-1502) (6.1.7601.17787) Размер=159232 Хеш=B2DB6ABA2E292235749B80A9C3DFA867
16.04.12 11:57:01.264 I> Main|6084 [Core] Модуль=C:\Windows\system32\IMM32.DLL Версия=6.1.7601.17514 (win7sp1_rtm.101119-1850) (6.1.7601.17514) Размер=118272 Хеш=4A8E2F20809CC161107FAA94F6CF2685
16.04.12 11:57:01.265 I> Main|6084 [Core] Модуль=C:\Windows\system32\iphlpapi.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=103936 Хеш=A90DC9ABD65DB1A8902F361103029952
16.04.12 11:57:01.271 I> Main|6084 [Core] Модуль=C:\Windows\system32\kernel32.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=868352 Хеш=E570CBD732848438EAC574EB3442A2A8
16.04.12 11:57:01.276 I> Main|6084 [Core] Модуль=C:\Windows\system32\KERNELBASE.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=290816 Хеш=A9F8E23C1FC00190376B11FFAD9DE6C6
16.04.12 11:57:01.277 I> Main|6084 [Core] Модуль=C:\Windows\System32\l3codeca.acm Версия=1, 9, 0, 0401 (1, 0, 0, 0) Размер=64000 Хеш=1C7F1C3EA5894995E6C563E9AE9F029F
16.04.12 11:57:01.278 I> Main|6084 [Core] Модуль=C:\Windows\system32\LPK.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=26624 Хеш=4F154D2C9C6DF951FD6E5AABBAE6B5EE
16.04.12 11:57:01.280 I> Main|6084 [Core] Модуль=C:\Windows\system32\mp3fhg.acm Версия=3, 4, 0, 0 (3, 4, 0, 0) Размер=232448 Хеш=23D4907D662E248E09872E5A32E71570
16.04.12 11:57:01.282 I> Main|6084 [Core] Модуль=C:\Windows\system32\mpr.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=64000 Хеш=B9A8CBCFCD3EC9D2EA4740AF347BF108
16.04.12 11:57:01.283 I> Main|6084 [Core] Модуль=C:\Windows\system32\msacm32.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=72192 Хеш=85683DF1F917E4D7F6BE1A04986BF1C8
16.04.12 11:57:01.283 I> Main|6084 [Core] Модуль=C:\Windows\system32\msadp32.acm Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=18432 Хеш=8EE566982477BC5886FE622CEBEE9C86
16.04.12 11:57:01.289 I> Main|6084 [Core] Модуль=C:\Windows\system32\MSCTF.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=828928 Хеш=C9618BC9B2B0FD7C1138D8774795A79B
16.04.12 11:57:01.290 I> Main|6084 [Core] Модуль=C:\Windows\system32\msg711.acm Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=12288 Хеш=BF3D6F7D929E018703BE2D4556DD679A
16.04.12 11:57:01.291 I> Main|6084 [Core] Модуль=C:\Windows\system32\msgsm32.acm Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=23552 Хеш=AE796D3FD1C69CE62BB6AFACDFB950AA
16.04.12 11:57:01.291 I> Main|6084 [Core] Модуль=C:\Windows\system32\msimg32.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=4608 Хеш=18AB2E5A40064ED5F7791AC5946A90F3
16.04.12 11:57:01.296 I> Main|6084 [Core] Модуль=C:\Windows\system32\msvcrt.dll Версия=7.0.7601.17744 (win7sp1_gdr.111215-1535) (7.0.7601.17744) Размер=690688 Хеш=9DC80A8AAAAAC397BDAB3C67165A824E
16.04.12 11:57:01.298 I> Main|6084 [Core] Модуль=C:\Windows\System32\mswsock.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=232448 Хеш=8999B8631C7FD9F7F9EC3CAFD953BA24
16.04.12 11:57:01.299 I> Main|6084 [Core] Модуль=C:\Windows\system32\napinsp.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=52224 Хеш=0B7E85364CB878E2AD531DB7B601A9E5
16.04.12 11:57:01.300 I> Main|6084 [Core] Модуль=C:\Windows\system32\netapi32.dll Версия=6.1.7601.17514 (win7sp1_rtm.101119-1850) (6.1.7601.17514) Размер=56832 Хеш=8CE1A6D16B9077E91E192499EB611C5F
16.04.12 11:57:01.301 I> Main|6084 [Core] Модуль=C:\Windows\system32\netutils.dll Версия=6.1.7601.17514 (win7sp1_rtm.101119-1850) (6.1.7601.17514) Размер=22528 Хеш=20B3934DB73EABA2B49B7177873CB81F
16.04.12 11:57:01.302 I> Main|6084 [Core] Модуль=C:\Windows\system32\NLAapi.dll Версия=6.1.7601.17514 (win7sp1_rtm.101119-1850) (6.1.7601.17514) Размер=52224 Хеш=104A1070E90F1C530328E69B49718841
16.04.12 11:57:01.302 I> Main|6084 [Core] Модуль=C:\Windows\system32\Normaliz.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=2048 Хеш=9C278785347BCC991F8EA2999D90F58D
16.04.12 11:57:01.303 I> Main|6084 [Core] Модуль=C:\Windows\system32\NSI.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=8704 Хеш=6377051C63D5552A311935C67E9FDFDC
16.04.12 11:57:01.311 I> Main|6084 [Core] Модуль=C:\Windows\SYSTEM32\ntdll.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=1288472 Хеш=C30A91ADE8C9CB91E4281EC83C4500C6
16.04.12 11:57:01.320 I> Main|6084 [Core] Модуль=C:\Windows\system32\ole32.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=1414144 Хеш=928CF7268086631F54C3D8E17238C6DD
16.04.12 11:57:01.322 I> Main|6084 [Core] Модуль=C:\Windows\system32\oleacc.dll Версия=7.0.0.0 (win7sp1_gdr.110826-1504) (6.1.7601.17676) Размер=233472 Хеш=8E01332CC4B68BC6B5B7EFFE374442AA
16.04.12 11:57:01.326 I> Main|6084 [Core] Модуль=C:\Windows\system32\oleaut32.dll Версия=6.1.7601.17676 (6.1.7601.17676) Размер=571904 Хеш=6C765E82B57F2E66CE9C54AC238471D9
16.04.12 11:57:01.327 I> Main|6084 [Core] Модуль=C:\Windows\system32\oledlg.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=103424 Хеш=936F728E04ACCF3F38801CFFCF1E3F40
16.04.12 11:57:01.329 I> Main|6084 [Core] Модуль=C:\Windows\system32\olepro32.dll Версия=6.1.7601.17514 (6.1.7601.17514) Размер=90112 Хеш=703FFD301AB900B047337C5D40FD6F96
16.04.12 11:57:01.330 I> Main|6084 [Core] Модуль=C:\Windows\system32\pnrpnsp.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=65024 Хеш=5CF640EDDB1E40A5AB1BB743BCDEC610
16.04.12 11:57:01.331 I> Main|6084 [Core] Модуль=C:\Windows\system32\psapi.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=6144 Хеш=A543AC1F7138376D778D630A35FCBC4C
16.04.12 11:57:01.333 I> Main|6084 [Core] Модуль=C:\Windows\system32\rasapi32.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=325120 Хеш=839F96DBAAFD3353E0B248A5E0BD2A51
16.04.12 11:57:01.334 I> Main|6084 [Core] Модуль=C:\Windows\system32\rasman.dll Версия=6.1.7600.16385 (win7_rtm.090713-1255) (6.1.7600.16385) Размер=76800 Хеш=FFA7172354B9256DBB2CDD75F16F33FE
